data,Total_UPT,avg_fuel_price,Total_VRH,Total_VRM,Total_VOMS,working_age_pop,crude_oil_price,unemp_rate,nr_accidents,personal_income
12/2013,52749378,3.427555556,3457044,76671645,15273,202730225,97.63,6.7,2822,14425.7
1/2014,52777151,3.465444444,3488106,77017173,15407,202496108,94.62,6.6,2572,14529.9
2/2014,50309023,3.495666667,3124534,69675478,15410,202565810,100.82,6.7,2248,14620.1
3/2014,55691463,3.694,3470796,77053802,15461,202699623,100.8,6.7,2589,14725.2
4/2014,58099426,3.820888889,3469132,77042198,15467,202788604,102.07,6.2,2720,14800.2
5/2014,57903013,3.825777778,3467756,77235577,15494,202919585,102.18,6.3,3038,14872.4
6/2014,57690800,3.850333333,3437626,76342280,15527,203091024,105.79,6.1,3084,14951.3
7/2014,58633736,3.770222222,3576047,79322622,15532,203113412,103.59,6.2,3227,15026.9
8/2014,56769173,3.680888889,3531051,78280247,15539,203210204,96.54,6.1,3277,15105.5
9/2014,57243400,3.606555556,3442655,76333505,15511,203258716,93.21,5.9,3069,15166
10/2014,59971203,3.357111111,3637523,80531958,15523,203281177,84.4,5.7,3304,15233.2
11/2014,52643688,3.090333333,3326394,73558069,15538,203373143,75.79,5.8,3175,15304.9
12/2014,55195737,2.742444444,3593181,79349299,15550,203428333,59.29,5.6,3095,15383.1
1/2015,51274373,2.29,3442222,76108333,15533,203886243,47.22,5.7,2754,15444.5
